edgar_cik,edgar_year,sec_id,sec_title,distance
1800,1993,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.309090677869183
1800,1993,59c38537b26fd1c6ea110bd3b190e588,SEC Charges General Electric and Two Subsidiaries with FCPA Violations,0.31730602125839946
1800,1993,652c355b8848e75fdf85651bb0e31432,"SEC Charges Delphi Corporation and Nine Individuals, Including Former CEO, CFO, Treasurer and Controller, in Wide-Ranging Financial Fraud; Four Others Charged With Aiding and Abetting Related Violations
See also: Litigation Release 19891; Complaint; Administrative Proceeding Nos. 34-54665, 34-54666, 34-54667 and 34-54668",0.30307246407330257
1800,1993,d7fe2db6d46f007d12d2e0d2a7b998ca,SEC Charges Health Care Co. and Two Former Employees for Accounting Improprieties,0.31501377781948403
1800,1993,5220a1d4d9c02d813c8536464a5be416,Pharmaceutical Company and Former Executives Charged With Misleading Financial Disclosures,0.30659744750176343
50104,1993,a46b5f4282e6f39e9ca97085e537f151,"SEC Files Fraud Charges Against Nicor's Former CEO, CFO and Treasurer
See also: Litigation Release No. 20233",0.3159590543291795
50104,1993,c09ee5721683dbd0c691e961585f7f74,"SEC Charges ConAgra Foods, Inc. in Financial Fraud and Accounting Case
See also: Litigation Release No. 20206",0.31424654531063656
50104,1993,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.3035163260098156
50104,1993,a6ca2acd11304aa77cb43b8c456fb536,SEC Charges Oilfield Services Company and Former CEO With Failing to Disclose Executive Perks and Stock Pledges,0.31362958276369757
50104,1993,e22b3f32ce907a699c63408e1b3a1205,"El Paso Corp., Subsidiaries, and Former Employees Settle SEC Charges for Fraudulently Overstating Oil and Gas Reserves
See also: Litigation Release No. 20642",0.3151002520580829
315189,1993,c09ee5721683dbd0c691e961585f7f74,"SEC Charges ConAgra Foods, Inc. in Financial Fraud and Accounting Case
See also: Litigation Release No. 20206",0.3176921017039144
315189,1993,b7e65a1605c5eeefc1e9b98e00dc28e1,SEC Charges Diebold and Former Executives With Accounting Fraud,0.31749458633108096
315189,1993,652c355b8848e75fdf85651bb0e31432,"SEC Charges Delphi Corporation and Nine Individuals, Including Former CEO, CFO, Treasurer and Controller, in Wide-Ranging Financial Fraud; Four Others Charged With Aiding and Abetting Related Violations
See also: Litigation Release 19891; Complaint; Administrative Proceeding Nos. 34-54665, 34-54666, 34-54667 and 34-54668",0.31032268141156105
315189,1993,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.31514472394286586
315189,1993,a145fee70d224f197ae414be27f09beb,SEC Charges Four Public Companies With Longstanding ICFR Failures,0.3179715662161495
1067983,2020,7fe4e612554df988fb6d4c4bf949b5bd,"SEC Charges Companies, Former Executives as Part of Risk-Based Initiative",0.27674506376425845
1067983,2020,bffd0ae5fdfb5d316a2dc778d415b446,SEC Levies More Than $3.8 Million in Penalties in Sweep of Late Beneficial Ownership and Insider Transaction Reports,0.26569142832202575
1067983,2020,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.2556269693020542
1067983,2020,7af28a48e0a7aa4f22df07c1c42283bd,"SEC Charges 69 Audit Firms and Partners for Issuing Audit Reports While Not Registered with the PCAOB
See also: Administrative Proceedings (Release Nos. 34-56398 through 34-56436)",0.280854563047628
1067983,2020,55f78bf10042846ac936f1564295e733,Twenty-Six Firms to Pay More Than $390 Million Combined to Settle SEC’s Charges for Widespread Recordkeeping Failures,0.2816207704063163
1137091,2020,d7a2d99d60d8f1c5678866b973670c23,SEC Charges Corporate Insiders for Failing to Timely Report Transactions and Holdings,0.2926497574929777
1137091,2020,a145fee70d224f197ae414be27f09beb,SEC Charges Four Public Companies With Longstanding ICFR Failures,0.2827144871476419
1137091,2020,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.287851646162711
1137091,2020,80210595c2e576cad4ef1b38b1c76f42,SEC Charges New Jersey Software Company and Senior Employees with Accounting-Related Misconduct,0.29471009779760315
1137091,2020,7fe4e612554df988fb6d4c4bf949b5bd,"SEC Charges Companies, Former Executives as Part of Risk-Based Initiative",0.2940159059392933
